Date,Site,Chlorophyll ug/m,ODO%,Sal psu,Temp C
6/16/2022,925Lgn,28.91,87.4,25.35,31.98
6/16/2022,990Bch,27.57,99.6,24.58,31.788
6/16/2022,918Lmt,4.03,85.1,26.32,31.04
6/16/2022,440Gly,7.58,7.8,25.61,30.363
6/16/2022,425Lth,5.59,45.4,25.52,30.881
6/17/2022,940Lgn,12.85,97.5,25.78,31.023
6/17/2022,461Lth,5.5,51.1,26.78,31.57
6/17/2022,1063Sym,4.31,77.5,26.42,30.852
6/17/2022,836Sdr,13.91,79.2,25.94,31.608
6/17/2022,790Bch,24.82,89.3,25.57,32.132
6/30/2022,925Lgn,8.08,75.9,25.33,31.862
6/30/2022,918Lmt,2.52,80.3,26.81,30.415
6/30/2022,425Lth,4.9,65.8,26.75,30.33
6/30/2022,440Gly,7.79,23,27.13,30.795
6/30/2022,990Bch,11.38,74.7,25.69,31.907
7/1/2022,940Lgn,4.09,74.3,26.26,30.12
7/1/2022,836Sdr,3.75,55,26.72,31.361
7/1/2022,1063Sym,1.51,69.4,27.23,30.564
7/1/2022,461Lth,2.29,56.3,27.54,31.125
7/1/2022,790Bch,6.32,74,26.19,32.172
7/14/2022,925Lgn,8.97,66.8,28.2,31.835
7/14/2022,918Lmt,3.27,73.8,29.97,31.785
7/14/2022,425Lth,5.36,47.7,29.76,31.168
7/14/2022,440Gly,6.97,15.9,28.54,30.961
7/14/2022,990Bch,7.36,60,28.33,32.087
7/15/2022,940Lgn,7.33,59.6,29.12,30.471
7/15/2022,836Sdr,4.48,50.5,29.07,31.039
7/15/2022,790Bch,9.28,48.2,28.39,30.896
7/15/2022,1063Sym,4.36,59.2,30.04,30.539
7/15/2022,461Lth,4.54,53.5,30.45,30.49
7/28/2022,925Lgn,8.48,60.1,29.52,30.421
7/28/2022,440Gly,5.23,13.7,29.52,28.815
7/28/2022,425Lth,11.72,51.5,31.55,30.246
7/28/2022,918Lmt,4.94,68.2,30.95,30.095
7/28/2022,990Bch,9.84,61.5,29.85,30.793
7/29/2022,836Sdr,5.16,57.9,30,30.353
7/29/2022,940Lgn,8.2,66.9,30.41,30.281
7/29/2022,1063Sym,5.52,64.9,31.34,30.338
7/29/2022,461Lth,9.71,64.4,31.61,30.378
7/29/2022,790Bch,7.25,66.1,29.74,30.516
6/16/2022,925Lgn,28.91,87.4,25.35,31.98
6/16/2022,990Bch,27.57,99.6,24.58,31.788
6/16/2022,918Lmt,4.03,85.1,26.32,31.04
6/16/2022,440Gly,7.58,7.8,25.61,30.363
6/16/2022,425Lth,5.59,45.4,25.52,30.881
6/17/2022,940Lgn,12.85,97.5,25.78,31.023
6/17/2022,461Lth,5.5,51.1,26.78,31.57
6/17/2022,1063Sym,4.31,77.5,26.42,30.852
6/17/2022,836Sdr,13.91,79.2,25.94,31.608
6/17/2022,790Bch,24.82,89.3,25.57,32.132
6/30/2022,925Lgn,8.08,75.9,25.33,31.862
6/30/2022,918Lmt,2.52,80.3,26.81,30.415
6/30/2022,425Lth,4.9,65.8,26.75,30.33
6/30/2022,440Gly,7.79,23,27.13,30.795
6/30/2022,990Bch,11.38,74.7,25.69,31.907
7/1/2022,940Lgn,4.09,74.3,26.26,30.12
7/1/2022,836Sdr,3.75,55,26.72,31.361
7/1/2022,1063Sym,1.51,69.4,27.23,30.564
7/1/2022,461Lth,2.29,56.3,27.54,31.125
7/1/2022,790Bch,6.32,74,26.19,32.172
7/14/2022,925Lgn,8.97,66.8,28.2,31.835
7/14/2022,918Lmt,3.27,73.8,29.97,31.785
7/14/2022,425Lth,5.36,47.7,29.76,31.168
7/14/2022,440Gly,6.97,15.9,28.54,30.961
7/14/2022,990Bch,7.36,60,28.33,32.087
7/15/2022,940Lgn,7.33,59.6,29.12,30.471
7/15/2022,836Sdr,4.48,50.5,29.07,31.039
7/15/2022,790Bch,9.28,48.2,28.39,30.896
7/15/2022,1063Sym,4.36,59.2,30.04,30.539
7/15/2022,461Lth,4.54,53.5,30.45,30.49
7/28/2022,925Lgn,8.48,60.1,29.52,30.421
7/28/2022,440Gly,5.23,13.7,29.52,28.815
7/28/2022,425Lth,11.72,51.5,31.55,30.246
7/28/2022,918Lmt,4.94,68.2,30.95,30.095
7/28/2022,990Bch,9.84,61.5,29.85,30.793
7/29/2022,836Sdr,5.16,57.9,30,30.353
7/29/2022,940Lgn,8.2,66.9,30.41,30.281
7/29/2022,1063Sym,5.52,64.9,31.34,30.338
7/29/2022,461Lth,9.71,64.4,31.61,30.378
7/29/2022,790Bch,7.25,66.1,29.74,30.516
6/16/2022,925Lgn,28.91,87.4,25.35,31.98
6/16/2022,990Bch,27.57,99.6,24.58,31.788
6/16/2022,918Lmt,4.03,85.1,26.32,31.04
6/16/2022,440Gly,7.58,7.8,25.61,30.363
6/16/2022,425Lth,5.59,45.4,25.52,30.881
6/17/2022,940Lgn,12.85,97.5,25.78,31.023
6/17/2022,461Lth,5.5,51.1,26.78,31.57
6/17/2022,1063Sym,4.31,77.5,26.42,30.852
6/17/2022,836Sdr,13.91,79.2,25.94,31.608
6/17/2022,790Bch,24.82,89.3,25.57,32.132
6/30/2022,925Lgn,8.08,75.9,25.33,31.862
6/30/2022,918Lmt,2.52,80.3,26.81,30.415
6/30/2022,425Lth,4.9,65.8,26.75,30.33
6/30/2022,440Gly,7.79,23,27.13,30.795
6/30/2022,990Bch,11.38,74.7,25.69,31.907
7/1/2022,940Lgn,4.09,74.3,26.26,30.12
7/1/2022,836Sdr,3.75,55,26.72,31.361
7/1/2022,1063Sym,1.51,69.4,27.23,30.564
7/1/2022,461Lth,2.29,56.3,27.54,31.125
7/1/2022,790Bch,6.32,74,26.19,32.172
7/14/2022,925Lgn,8.97,66.8,28.2,31.835
7/14/2022,918Lmt,3.27,73.8,29.97,31.785
7/14/2022,425Lth,5.36,47.7,29.76,31.168
7/14/2022,440Gly,6.97,15.9,28.54,30.961
7/14/2022,990Bch,7.36,60,28.33,32.087
7/15/2022,940Lgn,7.33,59.6,29.12,30.471
7/15/2022,836Sdr,4.48,50.5,29.07,31.039
7/15/2022,790Bch,9.28,48.2,28.39,30.896
7/15/2022,1063Sym,4.36,59.2,30.04,30.539
7/15/2022,461Lth,4.54,53.5,30.45,30.49
7/28/2022,925Lgn,8.48,60.1,29.52,30.421
7/28/2022,440Gly,5.23,13.7,29.52,28.815
7/28/2022,425Lth,11.72,51.5,31.55,30.246
7/28/2022,918Lmt,4.94,68.2,30.95,30.095
7/28/2022,990Bch,9.84,61.5,29.85,30.793
7/29/2022,836Sdr,5.16,57.9,30,30.353
7/29/2022,940Lgn,8.2,66.9,30.41,30.281
7/29/2022,1063Sym,5.52,64.9,31.34,30.338
7/29/2022,461Lth,9.71,64.4,31.61,30.378
7/29/2022,790Bch,7.25,66.1,29.74,30.516
